% This dataset is taken from the Penn Machine Learning Benchmark.
% This ARFF is automatically generated.
% The data types of attributes are inferred from the data.
% In particular this means there is some uncertainty as to whether an attribute truly is categorical, numerical or ordinal.

@RELATION threeOf9
@ATTRIBUTE F1 {0,1}
@ATTRIBUTE F2 {0,1}
@ATTRIBUTE F3 {0,1}
@ATTRIBUTE F4 {0,1}
@ATTRIBUTE F5 {0,1}
@ATTRIBUTE F6 {0,1}
@ATTRIBUTE F7 {0,1}
@ATTRIBUTE F8 {0,1}
@ATTRIBUTE F9 {0,1}
@ATTRIBUTE class {0,1}
@DATA
1,1,1,0,1,0,0,1,1,1
0,1,1,1,0,0,1,1,0,1
0,1,1,1,1,1,1,0,0,1
1,1,1,1,0,1,0,1,0,1
1,0,1,0,1,0,1,1,0,0
0,0,1,1,1,1,1,0,1,1
1,1,0,0,0,1,0,0,1,0
0,1,1,1,0,1,0,1,1,1
1,0,0,1,1,1,1,1,0,1
0,1,1,1,0,1,1,1,0,1
1,1,0,1,0,1,1,1,1,1
1,1,0,1,0,0,1,0,0,0
1,0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0,0,0
0,1,0,1,1,1,0,1,1,1
0,1,1,0,0,0,1,1,0,0
0,1,0,1,0,1,0,1,0,0
0,0,0,0,0,1,1,0,0,0
1,0,1,0,0,1,0,0,1,0
1,0,1,0,1,1,1,0,0,1
1,0,0,1,1,1,1,1,1,1
0,1,1,0,0,0,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,0,0,1,0,0,0,1
1,0,0,1,0,1,0,1,0,0
0,1,0,1,0,0,1,0,1,0
0,0,1,0,0,0,0,0,0,0
0,1,1,0,0,1,1,0,0,0
1,1,1,0,1,0,1,1,1,1
0,0,0,1,0,1,0,0,0,0
1,1,1,1,0,1,1,1,0,1
0,0,1,0,1,0,1,1,0,0
1,1,0,1,0,0,0,0,1,0
1,1,1,1,1,0,0,1,0,1
0,1,0,0,0,1,0,1,0,0
1,0,1,0,0,1,0,0,0,0
1,1,0,1,1,0,1,0,1,0
0,1,0,1,1,0,1,0,0,0
0,0,1,1,1,1,1,1,0,1
1,1,0,0,1,0,1,1,0,0
1,0,1,1,0,0,0,1,0,0
0,1,1,0,0,0,0,0,1,0
1,0,0,0,1,1,0,0,1,0
0,1,0,1,0,0,1,0,0,0
0,1,1,0,1,0,0,0,1,0
1,1,1,0,1,1,0,1,1,1
1,1,1,1,1,1,0,1,0,1
1,0,1,0,0,0,0,1,0,0
1,0,0,0,1,0,1,0,1,0
1,0,0,0,1,1,0,0,0,0
