% This dataset is taken from the Penn Machine Learning Benchmark.
% This ARFF is automatically generated.
% The data types of attributes are inferred from the data.
% In particular this means there is some uncertainty as to whether an attribute truly is categorical, numerical or ordinal.

@RELATION xd6
@ATTRIBUTE Attribute_1 {0,1}
@ATTRIBUTE Attribute_2 {0,1}
@ATTRIBUTE Attribute_3 {0,1}
@ATTRIBUTE Attribute_4 {0,1}
@ATTRIBUTE Attribute_5 {0,1}
@ATTRIBUTE Attribute_6 {0,1}
@ATTRIBUTE Attribute_7 {0,1}
@ATTRIBUTE Attribute_8 {0,1}
@ATTRIBUTE Attribute_9 {0,1}
@ATTRIBUTE class {0,1}
@DATA
0,0,1,0,0,0,1,0,0,0
1,1,0,0,0,0,1,1,0,0
0,1,1,1,0,0,0,1,1,0
1,0,1,0,0,0,0,0,0,0
1,1,1,0,0,1,1,1,1,1
0,1,0,1,0,0,1,1,0,0
0,1,1,1,1,0,1,1,1,1
1,1,1,1,1,0,1,1,1,1
0,1,0,1,0,1,1,1,1,1
1,1,1,1,0,1,1,0,0,1
0,0,1,1,0,1,0,0,1,0
1,1,0,1,0,1,0,1,1,0
0,1,1,0,0,1,1,1,0,0
0,0,0,1,0,1,0,1,1,0
0,0,0,0,0,1,0,0,1,0
1,1,1,1,0,1,0,0,0,1
1,1,0,1,1,1,1,0,1,1
0,0,0,1,1,1,1,0,0,1
0,0,1,1,1,0,1,1,1,1
1,0,0,0,1,1,1,1,1,1
0,0,0,0,1,1,1,0,0,0
0,0,1,0,1,0,0,0,1,0
0,1,0,1,1,1,1,0,1,1
1,1,0,1,0,0,0,1,1,0
0,1,0,1,1,0,0,1,0,0
1,0,0,1,0,1,0,1,1,0
1,1,0,1,0,0,0,1,0,0
1,1,1,1,0,0,0,1,0,1
0,1,0,0,0,0,1,1,1,1
1,0,1,0,1,1,1,0,1,0
0,1,1,0,0,1,0,1,1,0
0,1,0,1,0,1,0,0,0,0
0,0,0,0,0,1,0,1,1,0
0,1,1,0,0,0,0,1,0,0
1,1,0,0,1,0,1,0,0,0
0,1,0,0,0,0,0,1,0,0
0,1,0,0,1,0,0,0,0,0
1,1,1,0,0,0,1,0,0,1
1,1,0,0,1,0,0,1,1,0
1,0,1,1,1,0,0,0,1,0
1,0,1,1,0,1,0,1,1,0
1,1,1,1,1,1,0,1,1,1
1,1,1,0,0,1,1,0,1,1
0,1,1,1,1,0,1,0,1,0
1,0,0,1,0,0,1,0,0,0
0,0,0,1,0,1,0,0,1,0
0,0,1,0,0,1,0,0,0,0
0,1,1,0,1,1,1,0,1,0
1,0,1,1,0,0,1,1,0,0
0,1,0,0,1,0,1,1,0,0
1,1,0,1,1,1,1,1,0,1
1,1,1,1,1,1,0,1,0,1
1,1,1,0,1,0,1,1,0,1
1,0,1,1,0,0,1,0,0,0
1,0,0,1,0,1,0,1,0,0
0,0,0,1,1,1,1,0,1,1
0,0,0,1,1,0,0,1,0,0
0,1,1,1,0,1,0,1,0,0
1,0,0,0,0,0,0,1,0,0
1,1,0,1,0,1,1,1,0,0
1,0,1,1,0,1,1,1,0,0
0,1,0,1,1,1,0,0,1,1
1,1,0,0,0,0,1,0,0,0
1,1,0,1,1,0,1,1,1,1
0,0,1,1,0,1,0,1,0,0
0,1,0,0,1,1,1,0,0,0
1,0,0,1,0,1,0,0,1,0
1,0,1,1,0,1,1,0,1,0
0,0,1,0,0,1,0,0,1,0
1,0,1,1,1,1,0,1,0,1
0,1,0,1,1,0,0,0,0,0
0,1,1,0,1,1,0,1,1,0
0,1,0,0,1,0,1,1,1,1
0,0,1,0,1,1,1,1,1,1
1,0,1,0,1,0,1,0,0,0
1,0,1,0,0,1,0,1,1,0
0,1,0,0,1,1,1,0,1,0
1,0,0,0,1,1,0,1,0,0
1,1,1,1,1,0,0,0,1,1
0,0,0,0,1,0,0,0,1,0
0,1,0,1,1,0,1,1,1,1
0,1,0,1,1,1,0,1,0,1
0,0,1,0,0,1,1,1,0,0
1,0,0,0,0,1,0,0,1,0
1,0,1,0,1,1,0,0,1,0
0,0,0,1,0,1,0,0,0,0
0,0,0,1,0,0,1,0,0,0
0,1,0,0,1,1,0,0,1,0
1,1,0,1,1,1,0,1,1,1
1,0,0,1,1,1,1,1,0,1
0,0,0,0,1,0,1,0,0,0
0,0,0,1,0,0,0,1,1,0
0,1,1,1,0,1,1,1,1,1
0,1,0,0,1,1,0,1,0,0
0,0,1,0,0,1,0,1,0,0
0,0,0,0,1,1,1,1,0,0
1,1,0,0,0,1,1,0,0,0
1,0,0,1,1,0,1,0,0,0
0,0,1,1,1,0,1,1,0,0
0,1,0,1,0,0,0,0,0,0
1,0,0,0,1,0,0,1,0,0
1,1,0,1,0,1,0,1,0,0
0,0,1,0,0,0,0,0,1,0
1,1,1,0,0,0,0,0,0,1
0,0,0,0,1,1,1,1,1,1
0,1,1,1,1,0,0,0,0,0
0,0,1,1,0,1,0,1,1,0
0,1,1,1,0,0,0,0,0,0
0,1,0,1,1,0,1,0,1,0
0,0,0,0,0,0,1,1,1,1
1,0,0,0,0,0,1,0,1,0
0,0,0,0,0,0,1,0,1,0
1,0,0,0,0,1,1,0,0,0
0,0,0,1,1,0,0,0,1,0
1,0,0,1,0,0,1,0,1,0
1,1,0,0,0,1,1,0,1,0
0,0,1,1,0,0,0,0,0,0
1,0,0,0,1,0,1,0,0,0
0,1,1,0,0,1,1,0,1,0
0,0,0,1,0,0,0,0,0,0
1,1,0,1,0,1,1,0,0,0
0,0,1,1,1,1,1,0,1,1
0,0,0,0,0,1,0,0,0,0
1,1,0,0,1,1,0,0,0,0
1,0,0,0,0,1,0,1,1,0
1,0,1,0,1,1,1,1,1,1
1,0,1,0,0,0,0,1,1,0
0,0,1,1,1,0,1,0,1,0
1,1,0,0,1,1,1,1,0,0
0,1,0,0,1,1,0,0,0,0
0,1,0,0,0,1,0,0,0,0
1,0,0,1,0,0,0,0,0,0
1,1,1,0,1,0,0,1,0,1
1,0,1,1,1,0,1,1,0,0
1,0,1,0,1,0,0,0,0,0
1,1,0,1,1,1,0,0,0,1
1,1,0,1,0,0,0,0,0,0
1,0,0,1,1,0,1,1,0,0
1,1,0,0,0,0,1,0,1,0
1,1,1,1,1,1,1,1,0,1
1,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,0,0,0,1
1,1,1,0,1,1,0,0,0,1
1,0,0,0,1,0,1,0,1,0
1,0,0,1,0,0,0,0,1,0
0,0,1,1,1,0,0,1,0,0
0,1,1,0,1,0,1,0,0,0
0,1,0,0,1,0,1,0,0,0
0,0,1,1,0,1,0,0,0,0
1,1,0,1,0,0,0,0,1,0
0,1,0,1,0,0,1,1,1,1
0,1,1,1,0,1,0,0,0,0
1,1,0,0,1,0,1,1,1,1
1,0,1,1,0,0,0,1,1,0
1,1,1,0,0,0,0,0,1,1
1,1,1,1,0,1,1,1,0,1
0,0,1,0,1,0,0,0,0,0
1,0,1,1,1,0,0,1,0,0
0,0,0,1,0,1,0,1,0,0
1,0,1,0,1,1,1,0,0,0
1,1,1,0,1,0,1,0,0,1
1,0,1,1,1,1,1,0,0,1
0,1,1,0,0,0,0,1,1,0
1,0,1,1,0,0,1,1,1,1
1,0,1,1,1,1,1,1,1,1
0,0,0,1,1,1,0,1,0,1
0,1,0,1,0,1,0,1,0,0
0,1,0,1,1,0,0,0,1,0
1,1,1,0,0,0,0,1,0,1
0,1,1,0,1,0,0,0,1,0
0,0,0,1,1,0,1,0,1,0
0,1,0,0,0,1,1,0,1,0
0,1,1,1,1,0,0,0,1,0
0,0,0,1,0,1,1,1,0,0
0,0,0,1,0,1,1,0,0,0
0,0,1,1,0,1,1,1,0,0
0,0,1,1,1,1,0,0,1,1
0,1,0,0,1,0,1,0,1,0
0,0,0,1,0,1,1,0,1,0
1,0,0,1,1,1,1,0,1,1
0,1,1,1,0,1,1,0,0,0
0,0,0,0,1,1,0,0,1,0
1,1,0,1,0,1,1,1,1,1
0,0,1,0,1,0,0,1,1,0
1,0,1,1,0,1,0,0,0,0
0,0,1,1,1,0,1,0,0,0
0,1,1,0,1,1,1,1,1,1
0,1,1,0,0,1,1,1,1,1
0,0,0,0,0,0,0,1,1,0
1,1,0,1,1,0,1,0,1,0
0,0,1,0,0,0,1,0,1,0
1,1,0,1,0,0,1,1,1,1
0,0,0,1,1,0,1,1,0,0
1,1,0,0,1,1,0,1,0,0
0,1,0,1,1,0,1,0,0,0
1,1,1,1,0,0,0,0,0,1
0,1,1,0,1,0,0,0,0,0
0,0,1,1,1,1,1,1,1,1
0,0,1,1,0,0,1,1,1,1
1,1,1,1,0,0,1,0,0,1
0,1,0,0,0,1,1,1,0,0
1,1,0,1,0,1,0,0,1,0
1,0,1,0,0,1,1,0,1,0
1,0,0,0,0,0,1,1,1,1
1,0,1,0,0,1,0,0,0,0
0,1,1,0,1,1,0,1,0,0
1,0,1,1,1,0,1,0,0,0
0,1,0,0,0,0,1,0,0,0
1,1,1,0,0,1,1,1,0,1
0,0,1,1,0,0,0,1,1,0
1,1,1,1,0,1,0,1,0,1
0,1,1,1,1,1,1,0,1,1
0,0,1,1,1,1,1,0,0,1
0,1,1,0,1,0,1,0,1,0
0,1,0,0,0,1,0,1,1,0
1,1,0,0,0,0,0,0,1,0
1,1,1,1,0,1,0,0,1,1
1,0,1,0,0,1,1,0,0,0
1,0,0,1,1,1,1,0,0,1
1,1,1,1,0,0,1,0,1,1
0,0,1,1,0,0,1,1,0,0
1,0,1,1,1,0,0,1,1,0
0,0,1,0,1,0,1,0,1,0
1,0,0,1,0,0,1,1,1,1
1,0,0,0,1,1,1,0,0,0
0,0,1,0,0,0,0,0,0,0
0,1,0,1,0,1,1,0,1,0
1,0,0,1,1,1,0,0,0,1
0,1,1,0,0,1,1,0,0,0
0,0,1,0,1,1,1,0,0,0
1,1,1,1,0,0,0,1,1,1
0,0,1,1,0,0,1,0,1,0
0,1,0,0,0,0,1,1,0,0
0,1,0,1,0,0,1,0,0,0
0,1,1,0,1,1,1,1,0,0
0,1,1,1,1,1,0,0,1,1
1,1,1,0,1,1,1,1,1,1
1,1,1,1,1,1,1,0,0,1
0,1,0,1,0,0,1,0,1,0
1,1,1,0,1,0,0,1,1,1
0,0,1,1,1,0,0,0,1,0
0,0,1,0,1,0,1,0,0,0
0,1,0,1,1,1,1,0,0,1
0,1,1,1,0,1,0,1,1,0
0,1,0,1,1,1,0,1,1,1
1,0,1,0,1,1,0,0,0,0
1,0,0,1,0,1,0,0,0,0
1,0,1,1,1,1,0,0,0,1
1,0,0,1,1,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,1,1,1,1
1,1,1,0,1,0,0,0,1,1
0,1,1,0,0,1,0,0,0,0
1,0,1,0,1,1,0,1,0,0
1,0,1,0,1,0,0,1,1,0
1,1,1,0,0,0,0,1,1,1
0,1,1,1,0,1,1,0,1,0
1,0,1,0,0,0,1,0,0,0
1,0,1,1,1,1,1,0,1,1
0,0,1,0,0,1,1,0,1,0
0,0,1,1,1,1,1,1,0,1
0,0,0,1,1,0,1,0,0,0
1,1,1,1,0,1,0,1,1,1
1,1,0,1,0,1,1,0,1,0
1,1,0,0,1,0,1,0,1,0
0,0,1,1,0,0,1,0,0,0
0,0,0,0,0,0,1,0,0,0
0,1,1,0,0,0,1,1,1,1
0,0,1,1,1,1,0,0,0,1
0,0,0,1,1,1,1,1,0,1
1,0,1,0,0,1,0,1,0,0
1,0,1,0,0,0,1,1,1,1
1,1,0,0,0,0,0,1,1,0
1,1,1,0,1,0,1,0,1,1
0,0,1,1,0,0,0,0,1,0
0,1,0,1,1,0,1,1,0,0
1,0,0,1,1,0,1,0,1,0
0,1,0,1,0,1,1,0,0,0
1,0,0,1,1,0,0,0,1,0
1,0,0,1,0,1,1,0,0,0
1,0,0,0,1,0,0,1,1,0
1,0,0,0,1,1,1,1,0,0
1,0,0,0,1,1,0,1,1,0
0,0,0,0,0,0,0,0,1,0
1,1,1,0,0,0,1,0,1,1
0,1,0,0,1,1,1,1,1,1
0,0,1,0,1,1,0,0,0,0
0,0,0,0,1,1,0,0,0,0
1,1,1,1,0,0,1,1,1,1
0,0,1,1,1,1,0,1,1,1
0,1,0,0,1,0,0,0,1,0
0,0,0,0,0,0,0,1,0,0
1,1,0,1,0,0,1,0,0,0
1,1,0,1,1,1,1,0,0,1
1,1,1,0,0,1,0,1,1,1
1,1,1,0,0,0,1,1,0,1
1,0,1,1,0,0,1,0,1,0
0,1,0,0,0,0,0,0,1,0
0,0,1,0,1,0,1,1,0,0
1,1,1,1,0,1,1,1,1,1
0,0,1,0,0,1,1,0,0,0
1,0,0,1,0,0,0,1,1,0
1,0,0,0,1,1,1,0,1,0
0,0,0,1,1,1,0,0,1,1
0,0,1,0,0,0,0,1,1,0
1,1,0,0,0,1,1,1,0,0
1,1,1,0,1,0,1,1,1,1
1,1,1,1,1,1,1,1,1,1
0,1,0,1,0,1,0,1,1,0
0,1,1,1,1,1,1,1,0,1
1,1,0,1,0,1,0,0,0,0
1,1,1,1,1,0,1,0,0,1
1,0,1,0,0,0,0,1,0,0
1,1,0,0,0,1,0,1,0,0
1,0,0,1,1,0,1,1,1,1
0,0,0,0,1,0,0,0,0,0
1,0,1,1,1,0,1,1,1,1
0,1,0,1,1,0,0,1,1,0
0,1,0,0,1,0,0,1,0,0
1,0,0,1,0,0,1,1,0,0
0,1,1,0,1,1,0,0,1,0
0,0,0,1,1,1,0,0,0,1
1,0,0,1,1,0,0,1,1,0
0,1,1,1,0,0,1,0,1,0
1,0,1,1,0,1,1,0,0,0
1,1,1,1,1,0,0,1,1,1
1,1,1,1,0,0,0,0,1,1
0,0,1,0,0,0,1,1,0,0
1,1,1,1,0,0,1,1,0,1
0,1,1,0,0,1,0,0,1,0
1,1,0,1,1,0,0,0,1,0
1,0,0,0,1,0,0,0,0,0
0,1,1,1,1,0,1,1,0,0
0,0,0,0,0,1,1,1,1,1
1,1,1,1,1,0,0,0,0,1
0,1,1,1,1,1,0,1,1,1
0,1,1,1,1,1,1,1,1,1
0,1,0,1,0,0,0,1,1,0
0,1,0,1,0,1,0,0,1,0
1,1,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,1,1,0
0,0,0,0,0,1,1,0,0,0
0,0,1,0,1,1,1,1,0,0
1,0,0,0,1,0,0,0,1,0
1,0,1,1,0,1,0,0,1,0
1,1,1,0,1,1,1,1,0,1
1,1,1,0,1,1,0,1,0,1
0,1,1,0,1,0,0,1,0,0
1,0,0,0,0,1,1,1,0,0
1,0,0,1,1,1,0,1,0,1
0,0,1,0,1,1,0,1,1,0
0,1,1,0,0,1,0,1,0,0
0,0,1,0,1,1,1,0,1,0
1,0,1,1,1,0,0,0,0,0
0,0,0,0,1,1,1,0,1,0
0,1,0,1,0,0,0,1,0,0
1,1,1,0,0,1,0,0,1,1
1,1,0,0,1,1,0,1,1,0
0,1,1,1,1,0,1,0,0,0
0,0,0,1,0,0,1,0,1,0
1,1,0,0,1,1,1,1,1,1
1,1,0,0,0,1,0,0,1,0
0,0,1,1,0,1,1,1,1,1
1,1,0,1,1,0,1,1,0,0
0,0,1,0,1,1,0,0,1,0
0,1,1,0,0,0,1,1,0,0
0,1,0,0,0,0,0,1,1,0
1,1,1,1,1,1,0,0,0,1
1,1,1,0,1,1,0,1,1,1
0,0,0,0,1,1,0,1,1,0
0,0,1,1,1,1,0,1,0,1
1,0,1,0,0,1,1,1,0,0
0,1,1,0,1,0,1,1,0,0
0,0,1,0,0,0,0,1,0,0
0,1,0,1,1,1,1,1,0,1
0,0,0,1,0,0,1,1,0,0
1,0,0,0,1,0,1,1,0,0
0,1,1,0,0,0,0,0,1,0
0,0,0,1,1,0,1,1,1,1
1,0,0,0,1,0,1,1,1,1
1,0,0,0,0,1,1,0,1,0
0,0,1,1,0,1,1,0,1,0
1,1,0,0,1,1,1,0,1,0
0,1,0,0,0,1,1,0,0,0
1,1,1,0,0,0,1,1,1,1
0,1,1,1,0,0,0,0,1,0
1,0,0,1,0,1,1,0,1,0
1,0,1,1,0,0,0,0,0,0
1,1,1,0,1,1,0,0,1,1
1,0,0,1,1,0,0,1,0,0
1,1,0,0,1,0,0,1,0,0
0,0,0,0,1,0,1,1,1,1
0,1,0,0,0,1,1,1,1,1
1,1,1,1,1,0,1,1,0,1
1,0,1,1,1,1,0,1,1,1
1,0,0,1,0,0,0,1,0,0
1,0,0,1,1,1,0,1,1,1
0,1,0,1,1,1,1,1,1,1
1,0,0,0,0,1,1,1,1,1
1,0,1,1,1,1,0,0,1,1
1,0,0,0,1,1,0,0,0,0
1,0,1,0,1,1,0,1,1,0
1,1,0,0,0,1,0,0,0,0
0,1,0,0,1,0,0,1,1,0
1,1,0,0,0,1,1,1,1,1
1,0,1,0,1,0,1,1,0,0
1,1,1,1,0,1,1,0,1,1
0,1,1,0,0,0,0,0,0,0
1,0,0,0,0,0,1,1,0,0
0,0,0,0,1,0,0,1,0,0
1,1,0,1,1,0,0,1,1,0
