@relation cmc

@attribute Wifes_age numeric
@attribute Wifes_education {1,2,3,4}
@attribute Husbands_education {1,2,3,4}
@attribute Number_of_children_ever_born numeric
@attribute Wifes_religion {0,1}
@attribute Wifes_now_working? {0,1}
@attribute Husbands_occupation {1,2,3,4}
@attribute Standard-of-living_index {1,2,3,4}
@attribute Media_exposure {0,1}
@attribute binaryClass {P,N}

@data
24,2,3,3,1,1,2,3,0,P
45,1,3,10,1,1,3,4,0,P
43,2,3,7,1,1,3,4,0,P
42,3,2,9,1,1,3,3,0,P
36,3,3,8,1,1,3,2,0,P
19,4,4,0,1,1,3,3,0,P
38,2,3,6,1,1,3,2,0,P
21,3,3,1,1,0,3,2,0,P
27,2,3,3,1,1,3,4,0,P
45,1,1,8,1,1,2,2,1,P
38,1,3,2,1,0,3,3,1,P
42,1,4,4,1,1,1,3,0,P
44,4,4,1,1,0,1,4,0,P
42,2,4,1,1,0,3,3,0,P
38,3,4,2,1,1,2,3,0,P
26,2,4,0,1,1,4,1,0,P
48,1,1,7,1,1,2,4,0,P
39,2,2,6,1,1,2,4,0,P
37,2,2,8,1,1,2,3,0,P
39,2,1,5,1,1,2,1,1,P
26,3,4,1,1,0,4,1,0,P
24,3,4,0,1,0,3,1,0,P
46,4,4,1,0,1,1,4,0,P
39,4,4,1,1,1,1,4,0,P
48,4,4,5,1,1,1,4,0,P
40,2,4,8,1,1,3,3,0,P
38,4,4,1,1,0,1,4,0,P
29,4,4,0,1,0,1,4,0,P
24,4,4,0,1,0,2,2,0,P
43,1,2,8,1,1,2,4,0,P
31,3,4,2,1,1,1,4,0,P
31,4,4,2,1,1,3,2,0,P
26,2,4,0,1,0,1,2,0,P
33,2,2,2,1,1,3,1,0,P
24,2,3,1,1,1,3,3,0,P
42,1,3,9,1,1,3,2,1,P
43,1,2,8,1,0,3,1,0,P
25,3,3,4,1,1,3,2,0,P
42,2,2,3,1,1,3,4,0,P
28,2,2,1,1,1,2,4,0,P
28,1,1,3,1,1,3,1,0,P
47,2,3,0,1,0,1,3,0,P
48,2,4,2,1,1,1,3,0,P
40,4,4,2,0,1,1,4,0,P
28,2,2,1,1,1,3,2,0,P
25,1,4,1,1,1,2,1,0,P
32,4,4,2,1,1,2,3,0,P
45,4,4,0,1,1,2,4,0,P
26,4,4,1,1,1,1,4,0,P
26,4,4,0,1,0,1,4,0,P
31,4,4,0,1,0,1,4,0,P
49,4,4,7,0,1,2,4,0,P
40,3,4,8,1,1,3,3,0,P
34,4,4,1,0,0,2,3,0,P
36,2,4,5,1,1,2,3,0,P
20,2,2,2,1,1,2,2,1,P
43,4,4,5,1,0,1,4,0,P
37,3,4,7,1,1,2,1,0,P
21,2,3,0,1,1,3,4,0,P
49,4,4,6,1,1,1,2,0,P
42,3,3,10,1,1,3,3,0,P
20,2,3,1,1,1,2,3,0,P
47,1,2,2,1,0,1,3,0,P
22,2,3,1,1,1,2,1,0,P
27,2,4,1,1,0,1,3,0,P
24,2,4,1,1,1,3,1,0,P
44,4,2,8,1,1,3,3,0,P
30,2,3,3,1,1,3,1,0,P
23,3,4,2,1,1,3,4,0,P
25,4,4,1,1,0,3,3,0,P
47,2,3,4,1,1,2,3,0,P
48,2,3,8,1,1,1,4,0,P
29,2,3,1,1,1,1,1,0,P
29,2,3,1,1,1,1,2,0,P
21,3,4,0,1,1,2,3,0,P
21,3,4,1,1,1,2,3,0,P
29,4,4,0,1,0,2,4,0,P
45,3,4,3,1,1,1,4,0,P
33,2,3,2,1,1,3,2,0,P
38,4,4,1,1,0,1,4,0,P
24,4,4,0,0,1,1,4,0,P
